"","item","itemLabel","birthdate","deathdate"
"89","http://www.wikidata.org/entity/Q21008066","Noël Bureau","1892","1967"
"90","http://www.wikidata.org/entity/Q23765777","Louis Piéchaud","1892","1965"
"91","http://www.wikidata.org/entity/Q3123223","Géo-Charles","1892","1963"
"92","http://www.wikidata.org/entity/Q18115688","Gaston Picard","1892","1962"
"93","http://www.wikidata.org/entity/Q3427135","Renée Dunan","1892","1936"
"94","http://www.wikidata.org/entity/Q30278346","Marguerite Grépon","1891","1982"
"95","http://www.wikidata.org/entity/Q3068613","Ferdinand Lop","1891","1974"
"96","http://www.wikidata.org/entity/Q6755306","Marc-Adolphe Guégan","1891","1959"
"97","http://www.wikidata.org/entity/Q2828099","Aimée Barancy","1891","1984"
"98","http://www.wikidata.org/entity/Q3104166","Germaine Beaumont","1890","1983"
"99","http://www.wikidata.org/entity/Q71447","Claire Goll","1890","1977"
"100","http://www.wikidata.org/entity/Q2831177","Albert Flory","1890","1978"
"101","http://www.wikidata.org/entity/Q3503501","Sully-André Peyre","1890","1961"
"102","http://www.wikidata.org/entity/Q20961824","Charles Forot","1890","1973"
"103","http://www.wikidata.org/entity/Q5307942","Rosa Bailly","1890","1976"
"104","http://www.wikidata.org/entity/Q16944991","Joseph-Pierre Le Bras","1889","1915"
"105","http://www.wikidata.org/entity/Q12571","Edmond Privat","1889","1962"
"106","http://www.wikidata.org/entity/Q285992","Émile Henriot","1889","1961"
"107","http://www.wikidata.org/entity/Q100955413","René Flament","1889","1970"
"108","http://www.wikidata.org/entity/Q2825131","Adrien Bertrand","1888","1917"
"109","http://www.wikidata.org/entity/Q123080","Blaise Cendrars","1887","1961"
"110","http://www.wikidata.org/entity/Q161135","Savielly Tartakower","1887","1956"
"111","http://www.wikidata.org/entity/Q3301568","Maurice de Noisay","1886","1942"
"112","http://www.wikidata.org/entity/Q1299052","Emil Szittya","1886","1964"
"113","http://www.wikidata.org/entity/Q510114","Francis Carco","1886","1958"
"114","http://www.wikidata.org/entity/Q724343","Vladislav Khodasevich","1886","1939"
"115","http://www.wikidata.org/entity/Q2848208","André Mabille de Poncheville","1886","1969"
"116","http://www.wikidata.org/entity/Q16942655","Francesc Francís","1886","1973"
"117","http://www.wikidata.org/entity/Q81685","François Mauriac","1885","1970"
"118","http://www.wikidata.org/entity/Q3438929","Roger Dévigne","1885","1965"
"119","http://www.wikidata.org/entity/Q3436454","Robert Vallery-Radot","1885","1970"
"120","http://www.wikidata.org/entity/Q3263181","Louis Thomas","1885","1962"
"121","http://www.wikidata.org/entity/Q3426503","René Le Somptier","1884","1950"
"122","http://www.wikidata.org/entity/Q4138324","Henri Guilbeaux","1884","1938"
"123","http://www.wikidata.org/entity/Q2833874","Alexandre Mercereau","1884","1945"
"124","http://www.wikidata.org/entity/Q3367295","Pascal Bonetti","1884","1975"
"125","http://www.wikidata.org/entity/Q3300899","Maurice Heine","1884","1940"
"126","http://www.wikidata.org/entity/Q18197505","André Fage","1883","1948"
"127","http://www.wikidata.org/entity/Q21936829","Gontran Pailhès","1883","1960"
"128","http://www.wikidata.org/entity/Q3059862","Eugène Figuière","1882","1944"
"129","http://www.wikidata.org/entity/Q715195","Volin","1882","1945"
"130","http://www.wikidata.org/entity/Q3240951","Lily Lévy","1882","1958"
"131","http://www.wikidata.org/entity/Q3129247","Hector Fleischmann","1882","1914"
"133","http://www.wikidata.org/entity/Q522679","André Salmon","1881","1969"
"134","http://www.wikidata.org/entity/Q3056972","Ernest Gaubert","1881","1945"
"135","http://www.wikidata.org/entity/Q2623548","Sasha Chorny","1880","1932"
"136","http://www.wikidata.org/entity/Q18197575","Florian-Parmentier","1879","1951"
"137","http://www.wikidata.org/entity/Q3515001","Tancrède de Visan","1878","1945"
"138","http://www.wikidata.org/entity/Q57389","Alfred Döblin","1878","1957"
"139","http://www.wikidata.org/entity/Q2958846","Charles Daniélou","1878","1953"
"140","http://www.wikidata.org/entity/Q322520","Jean Schlumberger","1877","1968"
"141","http://www.wikidata.org/entity/Q3372081","Paul Reboux","1877","1963"
"142","http://www.wikidata.org/entity/Q3292905","Marie de Heredia","1875","1963"
"143","http://www.wikidata.org/entity/Q2861943","Armand Praviel","1875","1944"
"144","http://www.wikidata.org/entity/Q3131267","Henri Hertz","1875","1966"
"145","http://www.wikidata.org/entity/Q273338","Valentine de Saint-Point","1875","1953"
"146","http://www.wikidata.org/entity/Q3087508","Lucie Delarue-Mardrus","1874","1945"
"147","http://www.wikidata.org/entity/Q3176217","Jeanne de Flandreysy","1874","1959"
"148","http://www.wikidata.org/entity/Q12881801","Nikolaos Episkopopulos","1874","1944"
"149","http://www.wikidata.org/entity/Q14865058","Albert Laisant","1873","1928"
"150","http://www.wikidata.org/entity/Q1690095","Joachim Gasquet","1873","1921"
"151","http://www.wikidata.org/entity/Q3083622","François Paul Alibert","1873","1953"
"152","http://www.wikidata.org/entity/Q951835","Louis Feuillade","1873","1925"
"154","http://www.wikidata.org/entity/Q334965","Charles Péguy","1873","1914"
"155","http://www.wikidata.org/entity/Q2859996","Arshag Chobanian","1872","1954"
"156","http://www.wikidata.org/entity/Q2848545","André Rivoire","1872","1930"
"157","http://www.wikidata.org/entity/Q200639","Paul Valéry","1871","1945"
"158","http://www.wikidata.org/entity/Q98280196","Achille Steens","1871","1925"
"159","http://www.wikidata.org/entity/Q2824781","Adolphe Boschot","1871","1955"
"160","http://www.wikidata.org/entity/Q3241973","Lionel des Rieux","1870","1915"
"161","http://www.wikidata.org/entity/Q333106","Hilaire Belloc","1870","1953"
"162","http://www.wikidata.org/entity/Q3262686","Louis Mercier","1870","1951"
"163","http://www.wikidata.org/entity/Q3069186","Fernand Hauser","1869","1941"
"164","http://www.wikidata.org/entity/Q2731068","Philéas Lebesgue","1869","1958"
"165","http://www.wikidata.org/entity/Q3332173","Mécislas Golberg","1869","1907"
"166","http://www.wikidata.org/entity/Q2744857","Henri Antoine Jules-Bois","1868","1943"
"167","http://www.wikidata.org/entity/Q292539","Elena Vacarescu","1868","1947"
"168","http://www.wikidata.org/entity/Q2848670","André Spire","1868","1966"
"170","http://www.wikidata.org/entity/Q3293761","Marius André","1868","1927"
"171","http://www.wikidata.org/entity/Q3048","Charles Maurras","1868","1952"
